objectid,parentid,pid,title,archival_call_number,archival_collection,finding_aid_ark,physical_location,archival_series_title,folder_title,box,folder,contributing_institution,contributing_institution_valueURI,creator,personal_creator,personal_creator_valueURI,corporate_creator,corporate_creator_valueURI,interviewee,interviewee_valueURI,interviewer,interviewer_valueURI,personal_contributor,personal_contributor_valueURI,corporate_contributor,corporate_contributor_valueURI,description,table_of_contents,annotation,url,language,location,geographic_subject_fast,geographic_subject_fast_valueURI,topical_subject_fast,topical_subject_fast_valueURI,subject,topical_subject_local,topical_subject_local_valueURI,geographic_subject_lcsh,geographic_subject_lcsh_valueURI,geographic_subject_local,geographic_subject_local_valueURI,geographic_subject_geonames,geographic_subject_geonames_valueURI,coordinates,personal_name_subject,personal_name_subject_valueURI,corporate_name_subject,corporate_name_subject_valueURI,birds_subject,birds_subject_valueURI,chronological_subject,event_subject,event_subject_valueURI,extent,aat_genre,aat_genre_valueURI,dcmi_type,dcmi_type_valueURI,type_of_resource,imt_type,cco_description,rights_management,rights_management_valueURI,date,date_original,date_digital,location_interview,publisher,publisher_valueURI,ark,local_id,preservation_file_name,identifier,pdf_download,format,display_template,object_location,image_access,image_small,image_thumb,image_alt_text,object_transcript,object_ocr,uid,avian_id,project_number,date_created,date_modified,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,hardware_software,disclaimer,image_manipulation,file_size,resolution,colorspace,bits_per_sample,samples_per_pixel,height,width,digital_origin
testcollection_001,,JackTrice_25,"Jack Trice ""Last Letter,"" October 5, 1923 [MULTIPLE]",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Trice, Jack, 1902-1923","Trice, Jack, 1902-1923",,,,,,,,,,,,"Letter written October 5, 1923, by Jack Trice, football player and the first African American athlete at Iowa State, the night before playing his last football game against the University of Minnesota. Trice died on October 8 from injuries sustained in the game.",,,,eng,Minnesota--Minneapolis,Minnesota--Minneapolis,http://id.worldcat.org/fast/1204260,Alumni and alumnae;Football,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362,,,,,,,,,,,"Trice, Jack, 1902-1923",,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,1920s,,,2 pages,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,https://n2t.net/ark:/87292/w9261c,JackTrice_25,,,/objects/pdf/21-07-023_Trice_01-08-01.pdf,,multiple,,,/objects/small/21-07-023_trice_01-08-01-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-01_th.jpg,,/objects/transcripts/i-will.md,,,,,2013-09-04,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,,,,,,,reformatted digital
testcollection_002,testcollection_001,JackTrice_23,Front,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,,JackTrice_23,21-07-023_Trice_01-08-01-01.tif,21-07-023_Trice_01-08-01-01,,image/jpeg,image,/objects/21-07-023_Trice_01-08-01-01.jpg,/objects/access/21-07-023_trice_01-08-01-01_ac.jpg,/objects/small/21-07-023_trice_01-08-01-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-01_th.jpg,,,/objects/ocr/i-will-01.txt,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.5,,,,RGB,8,,5007,3310,,reformatted digital
testcollection_003,testcollection_001,JackTrice_24,Back,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,,JackTrice_24,21-07-023_Trice_01-08-01-02.tif,21-07-023_Trice_01-08-01-02,,image/jpeg,image,/objects/21-07-023_Trice_01-08-01-02.jpg,/objects/access/21-07-023_trice_01-08-01-02_ac.jpg,/objects/small/21-07-023_trice_01-08-01-02_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-02_th.jpg,,,/objects/ocr/i-will-02.txt,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.6,,,,RGB,8,,5007,3310,,reformatted digital
testcollection_004,,JackTrice_25,"Jack Trice ""Last Letter,"" October 5, 1923 [MIRADOR]",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Trice, Jack, 1902-1923","Trice, Jack, 1902-1923",,,,,,,,,,,,"Letter written October 5, 1923, by Jack Trice, football player and the first African American athlete at Iowa State, the night before playing his last football game against the University of Minnesota. Trice died on October 8 from injuries sustained in the game.",,,,eng,Minnesota--Minneapolis,Minnesota--Minneapolis,http://id.worldcat.org/fast/1204260,Alumni and alumnae;Football,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362,,,,,,,,,,,"Trice, Jack, 1902-1923",,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,1920s,,,2 pages,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,https://n2t.net/ark:/87292/w9261c,JackTrice_25,,,/objects/pdf/21-07-023_Trice_01-08-01.pdf,,iiif-mirador,,,/objects/small/21-07-023_trice_01-08-01-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-01_th.jpg,,/objects/transcripts/i-will.md,,,,,2013-09-04,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,,,,,,,reformatted digital
testcollection_005,testcollection_004,JackTrice_23,Front,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,,JackTrice_23,21-07-023_Trice_01-08-01-01.tif,21-07-023_Trice_01-08-01-01,,image/jpeg,image,/objects/21-07-023_Trice_01-08-01-01.jpg,/objects/access/21-07-023_trice_01-08-01-01_ac.jpg,/objects/small/21-07-023_trice_01-08-01-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-01_th.jpg,,,/objects/ocr/i-will-01.txt,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.5,,,,RGB,8,,5007,3310,,reformatted digital
testcollection_006,testcollection_004,JackTrice_24,Back,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,,JackTrice_24,21-07-023_Trice_01-08-01-02.tif,21-07-023_Trice_01-08-01-02,,image/jpeg,image,/objects/21-07-023_Trice_01-08-01-02.jpg,/objects/access/21-07-023_trice_01-08-01-02_ac.jpg,/objects/small/21-07-023_trice_01-08-01-02_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-02_th.jpg,,,/objects/ocr/i-will-02.txt,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.6,,,,RGB,8,,5007,3310,,reformatted digital
testcollection_007,,JackTrice_25,"Jack Trice ""Last Letter,"" October 5, 1923 [UV]",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Trice, Jack, 1902-1923","Trice, Jack, 1902-1923",,,,,,,,,,,,"Letter written October 5, 1923, by Jack Trice, football player and the first African American athlete at Iowa State, the night before playing his last football game against the University of Minnesota. Trice died on October 8 from injuries sustained in the game.",,,,eng,Minnesota--Minneapolis,Minnesota--Minneapolis,http://id.worldcat.org/fast/1204260,Alumni and alumnae;Football,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362,,,,,,,,,,,"Trice, Jack, 1902-1923",,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,1920s,,,2 pages,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,https://n2t.net/ark:/87292/w9261c,JackTrice_25,,,/objects/pdf/21-07-023_Trice_01-08-01.pdf,,iiif-uv,,,/objects/small/21-07-023_trice_01-08-01-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-01_th.jpg,,/objects/transcripts/i-will.md,,,,,2013-09-04,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,,,,,,,reformatted digital
testcollection_008,testcollection_007,JackTrice_23,Front,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,,JackTrice_23,21-07-023_Trice_01-08-01-01.tif,21-07-023_Trice_01-08-01-01,,image/jpeg,image,/objects/21-07-023_Trice_01-08-01-01.jpg,/objects/access/21-07-023_trice_01-08-01-01_ac.jpg,/objects/small/21-07-023_trice_01-08-01-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-01_th.jpg,,,/objects/ocr/i-will-01.txt,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.5,,,,RGB,8,,5007,3310,,reformatted digital
testcollection_009,testcollection_007,JackTrice_24,Back,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,,,,JackTrice_24,21-07-023_Trice_01-08-01-02.tif,21-07-023_Trice_01-08-01-02,,image/jpeg,image,/objects/21-07-023_Trice_01-08-01-02.jpg,/objects/access/21-07-023_trice_01-08-01-02_ac.jpg,/objects/small/21-07-023_trice_01-08-01-02_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-02_th.jpg,,,/objects/ocr/i-will-02.txt,,,,2013-09-03,2023-02-24,,,,,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.6,,,,RGB,8,,5007,3310,,reformatted digital
testcollection_010,,,Aircraft (Integrated propellers on top) [UV],,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Lippisch, Alexander, 1894-1976 ",,,,,,,,,,,,,Aircraft (with integrated propellers on top) conceptual drawing.,,,,zxx,,,,,,Airplanes--Design and construction;Drawing ,,,,,,,,,,,,,,,,,,,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1920/1929,1950,2009-09-17,,,,,,0243_lippisch_cdoversized_14.jpg,0243_lippisch_cdoversized_14,,image/jpeg,iiif-uv,/objects/0243_lippisch_cdoversized_14.jpg,/objects/access/0243_lippisch_cdoversized_14_ac.jpg,/objects/small/0243_lippisch_cdoversized_14_sm.jpg,/objects/thumbs/0243_lippisch_cdoversized_14_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,reformatted digital
